Date,Weight,ExerciseTime,Calories,ExerciseTimeLevel
2018-08-23,87.1,510,4732.7930000000015,500 ~ 750
2018-08-24,86.9,510,4732.7930000000015,500 ~ 750
2018-08-25,87.0,510,4732.7930000000015,500 ~ 750
2018-08-26,86.4,510,4732.7930000000015,500 ~ 750
2018-08-27,86.2,766,7107.155000000001,750 ~ 1000
2018-08-28,86.7,766,7107.155000000001,750 ~ 1000
2018-08-29,86.4,766,7107.155000000001,750 ~ 1000
2018-08-30,86.4,766,7107.155000000001,750 ~ 1000
2018-08-31,86.4,766,7107.155000000001,750 ~ 1000
2018-09-01,85.5,766,7107.155000000001,750 ~ 1000
2018-09-02,86.0,766,7107.155000000001,750 ~ 1000
2018-09-02,85.7,766,7107.155000000001,750 ~ 1000
2018-09-03,86.3,443,4732.979,250 ~ 500
2018-09-04,86.6,443,4732.979,250 ~ 500
2018-09-05,86.4,443,4732.979,250 ~ 500
2018-09-08,86.1,443,4732.979,250 ~ 500
2018-09-06,85.4,443,4732.979,250 ~ 500
2018-09-07,86.2,443,4732.979,250 ~ 500
2018-09-10,86.3,590,6362.794,500 ~ 750
2018-09-11,86.0,590,6362.794,500 ~ 750
2018-09-15,86.0,590,6362.794,500 ~ 750
2018-09-22,85.5,410,4822.966,250 ~ 500
2018-09-24,84.8,152,2019.8960000000002,0 ~ 250
2018-09-26,84.3,152,2019.8960000000002,0 ~ 250
2018-09-27,84.5,152,2019.8960000000002,0 ~ 250
2018-09-29,84.2,152,2019.8960000000002,0 ~ 250
2018-09-30,83.8,152,2019.8960000000002,0 ~ 250
2018-10-19,83.5,262,3153.99,250 ~ 500
2018-10-20,83.4,262,3153.99,250 ~ 500
2018-10-21,82.8,262,3153.99,250 ~ 500
2018-10-22,83.2,680,6930.580999999999,500 ~ 750
2018-10-24,84.1,680,6930.580999999999,500 ~ 750
2018-10-26,83.7,680,6930.580999999999,500 ~ 750
2018-10-27,84.1,680,6930.580999999999,500 ~ 750
2018-10-28,83.7,680,6930.580999999999,500 ~ 750
2018-10-30,83.3,617,7089.789000000001,500 ~ 750
2018-10-30,84.0,617,7089.789000000001,500 ~ 750
2018-10-30,83.8,617,7089.789000000001,500 ~ 750
2018-10-30,83.7,617,7089.789000000001,500 ~ 750
2018-10-31,82.5,617,7089.789000000001,500 ~ 750
2018-11-01,82.4,617,7089.789000000001,500 ~ 750
2018-11-02,83.3,617,7089.789000000001,500 ~ 750
2018-11-03,82.8,617,7089.789000000001,500 ~ 750
2018-11-04,83.1,617,7089.789000000001,500 ~ 750
2018-11-05,83.2,419,5215.791,250 ~ 500
2018-11-06,82.9,419,5215.791,250 ~ 500
2018-11-09,82.9,419,5215.791,250 ~ 500
2018-11-11,82.8,419,5215.791,250 ~ 500
2018-11-14,82.9,375,4518.592,250 ~ 500
2018-11-14,82.6,375,4518.592,250 ~ 500
2018-11-15,82.7,375,4518.592,250 ~ 500
2018-11-17,82.4,375,4518.592,250 ~ 500
2018-11-18,81.8,375,4518.592,250 ~ 500
2018-11-19,81.7,606,7061.1140000000005,500 ~ 750
2018-11-20,82.2,606,7061.1140000000005,500 ~ 750
2018-11-22,82.3,606,7061.1140000000005,500 ~ 750
2018-11-23,81.9,606,7061.1140000000005,500 ~ 750
2018-11-26,81.9,253,3569.541,250 ~ 500
2018-11-26,81.6,253,3569.541,250 ~ 500
2018-11-26,81.8,253,3569.541,250 ~ 500
2018-11-26,81.9,253,3569.541,250 ~ 500
2018-12-02,81.9,253,3569.541,250 ~ 500
2018-12-04,82.2,105,2419.922,0 ~ 250
2018-12-06,82.0,105,2419.922,0 ~ 250
2018-12-08,82.1,105,2419.922,0 ~ 250
2018-12-09,82.1,105,2419.922,0 ~ 250
2018-12-11,82.0,334,4338.867,250 ~ 500
2018-12-12,81.8,334,4338.867,250 ~ 500
2018-12-13,81.5,334,4338.867,250 ~ 500
2018-12-14,81.8,334,4338.867,250 ~ 500
2018-12-15,81.3,334,4338.867,250 ~ 500
2018-12-16,80.3,334,4338.867,250 ~ 500
2018-12-17,80.9,492,5444.249,250 ~ 500
2018-12-19,81.8,492,5444.249,250 ~ 500
2018-12-20,80.9,492,5444.249,250 ~ 500
2018-12-21,80.8,492,5444.249,250 ~ 500
2018-12-22,80.6,492,5444.249,250 ~ 500
2018-12-23,80.8,492,5444.249,250 ~ 500
2018-12-24,81.0,407,4439.017,250 ~ 500
2018-12-25,81.5,407,4439.017,250 ~ 500
2018-12-27,81.6,407,4439.017,250 ~ 500
2018-12-28,80.7,407,4439.017,250 ~ 500
2018-12-29,81.3,407,4439.017,250 ~ 500
2018-12-31,80.8,146,1047.94,0 ~ 250
2019-01-02,81.0,323,3724.574,250 ~ 500
2019-01-03,81.5,323,3724.574,250 ~ 500
2019-01-04,80.9,323,3724.574,250 ~ 500
2019-01-06,81.9,323,3724.574,250 ~ 500
2019-01-07,81.9,400,4334.317,250 ~ 500
2019-01-08,81.7,400,4334.317,250 ~ 500
2019-01-09,82.2,400,4334.317,250 ~ 500
2019-01-10,81.9,400,4334.317,250 ~ 500
2019-01-11,81.5,400,4334.317,250 ~ 500
2019-01-12,81.4,400,4334.317,250 ~ 500
2019-01-13,81.0,400,4334.317,250 ~ 500
2019-01-14,81.1,342,4203.001,250 ~ 500
2019-01-15,81.4,342,4203.001,250 ~ 500
2019-01-16,81.5,342,4203.001,250 ~ 500
2019-01-18,81.5,342,4203.001,250 ~ 500
2019-01-19,81.4,342,4203.001,250 ~ 500
2019-01-20,81.4,342,4203.001,250 ~ 500
2019-01-21,81.6,470,5354.293,250 ~ 500
2019-01-22,81.7,470,5354.293,250 ~ 500
2019-01-23,81.5,470,5354.293,250 ~ 500
2019-01-24,81.1,470,5354.293,250 ~ 500
2019-01-25,81.0,470,5354.293,250 ~ 500
2019-01-26,81.5,470,5354.293,250 ~ 500
2019-01-28,81.2,346,4736.031,250 ~ 500
2019-01-30,81.4,346,4736.031,250 ~ 500
2019-01-31,81.1,346,4736.031,250 ~ 500
2019-02-02,81.4,346,4736.031,250 ~ 500
2019-02-03,81.5,346,4736.031,250 ~ 500
2019-02-07,80.7,1065,10039.837,1000 ~ 1250
2019-02-08,81.0,1065,10039.837,1000 ~ 1250
2019-02-08,80.3,1065,10039.837,1000 ~ 1250
2019-02-14,81.1,127,2218.7999999999997,0 ~ 250
2019-02-15,80.7,127,2218.7999999999997,0 ~ 250
2019-02-16,81.4,127,2218.7999999999997,0 ~ 250
2019-02-18,81.1,358,4729.201,250 ~ 500
2019-02-20,80.6,358,4729.201,250 ~ 500
2019-02-21,80.7,358,4729.201,250 ~ 500
2019-02-25,81.3,178,2544.6449999999995,0 ~ 250
2019-02-26,80.9,178,2544.6449999999995,0 ~ 250
2019-02-27,80.9,178,2544.6449999999995,0 ~ 250
2019-02-28,81.0,178,2544.6449999999995,0 ~ 250
2019-03-05,80.7,106,1846.3069999999998,0 ~ 250
2019-03-07,80.6,106,1846.3069999999998,0 ~ 250
2019-03-11,80.3,282,3839.848,250 ~ 500
2019-03-11,80.7,282,3839.848,250 ~ 500
2019-03-12,80.2,282,3839.848,250 ~ 500
2019-03-15,80.5,282,3839.848,250 ~ 500
2019-03-21,80.1,132,2421.1900000000005,0 ~ 250
2019-03-27,80.7,430,5076.003,250 ~ 500
2019-03-29,80.7,430,5076.003,250 ~ 500
2019-04-04,80.8,615,6396.366,500 ~ 750
2019-04-08,81.1,548,6733.153,500 ~ 750
2019-04-09,81.4,548,6733.153,500 ~ 750
2019-04-11,81.0,548,6733.153,500 ~ 750
2019-04-11,80.8,548,6733.153,500 ~ 750
2019-04-13,80.4,548,6733.153,500 ~ 750
2019-04-14,80.7,548,6733.153,500 ~ 750
2019-04-15,81.1,551,6253.683999999999,500 ~ 750
2019-04-18,81.0,551,6253.683999999999,500 ~ 750
2019-04-19,80.8,551,6253.683999999999,500 ~ 750
2019-04-20,80.2,551,6253.683999999999,500 ~ 750
2019-04-21,79.9,551,6253.683999999999,500 ~ 750
2019-04-24,81.0,441,5359.019,250 ~ 500
2019-04-25,80.3,441,5359.019,250 ~ 500
2019-04-26,80.0,441,5359.019,250 ~ 500
2019-04-27,79.9,441,5359.019,250 ~ 500
2019-04-28,79.8,441,5359.019,250 ~ 500
2019-04-29,80.5,720,7356.974999999999,500 ~ 750
2019-05-01,80.4,720,7356.974999999999,500 ~ 750
2019-05-02,80.6,720,7356.974999999999,500 ~ 750
2019-05-03,80.0,720,7356.974999999999,500 ~ 750
2019-05-05,80.6,720,7356.974999999999,500 ~ 750
2019-05-07,80.6,611,6690.594999999999,500 ~ 750
2019-05-07,80.7,611,6690.594999999999,500 ~ 750
2019-05-08,80.0,611,6690.594999999999,500 ~ 750
2019-05-09,79.8,611,6690.594999999999,500 ~ 750
2019-05-11,80.2,611,6690.594999999999,500 ~ 750
2019-05-14,79.8,566,5930.273999999999,500 ~ 750
2019-05-15,80.0,566,5930.273999999999,500 ~ 750
2019-05-16,79.8,566,5930.273999999999,500 ~ 750
2019-05-17,79.8,566,5930.273999999999,500 ~ 750
2019-05-18,79.5,566,5930.273999999999,500 ~ 750
2019-05-19,79.7,566,5930.273999999999,500 ~ 750
2019-05-20,79.7,602,6067.455,500 ~ 750
2019-05-22,80.0,602,6067.455,500 ~ 750
2019-05-22,79.7,602,6067.455,500 ~ 750
2019-05-23,80.3,602,6067.455,500 ~ 750
2019-05-24,80.1,602,6067.455,500 ~ 750
2019-05-25,79.5,602,6067.455,500 ~ 750
2019-05-25,79.3,602,6067.455,500 ~ 750
2019-05-26,79.7,602,6067.455,500 ~ 750
2019-05-27,79.6,600,7059.616,500 ~ 750
2019-05-28,79.5,600,7059.616,500 ~ 750
2019-05-29,79.7,600,7059.616,500 ~ 750
2019-05-30,79.6,600,7059.616,500 ~ 750
2019-05-31,79.4,600,7059.616,500 ~ 750
2019-06-02,80.0,600,7059.616,500 ~ 750
2019-06-03,79.9,543,6485.375,500 ~ 750
2019-06-04,79.7,543,6485.375,500 ~ 750
2019-06-05,79.3,543,6485.375,500 ~ 750
2019-06-06,79.4,543,6485.375,500 ~ 750
2019-06-07,79.4,543,6485.375,500 ~ 750
2019-06-08,79.1,543,6485.375,500 ~ 750
2019-06-09,78.4,543,6485.375,500 ~ 750
2019-06-10,78.7,404,4547.208,250 ~ 500
2019-06-11,79.4,404,4547.208,250 ~ 500
2019-06-12,79.5,404,4547.208,250 ~ 500
2019-06-13,79.6,404,4547.208,250 ~ 500
2019-06-14,79.5,404,4547.208,250 ~ 500
2019-06-15,78.8,404,4547.208,250 ~ 500
2019-06-16,78.7,404,4547.208,250 ~ 500
2019-06-17,78.6,355,4653.827,250 ~ 500
2019-06-18,79.0,355,4653.827,250 ~ 500
2019-06-19,79.0,355,4653.827,250 ~ 500
2019-06-20,79.4,355,4653.827,250 ~ 500
2019-06-21,79.4,355,4653.827,250 ~ 500
2019-06-22,78.4,355,4653.827,250 ~ 500
2019-06-23,78.7,355,4653.827,250 ~ 500
2019-06-24,78.4,354,4233.958,250 ~ 500
2019-06-25,78.1,354,4233.958,250 ~ 500
2019-06-26,78.4,354,4233.958,250 ~ 500
2019-06-27,78.9,354,4233.958,250 ~ 500
2019-06-28,78.5,354,4233.958,250 ~ 500
2019-06-29,78.4,354,4233.958,250 ~ 500
2019-06-30,78.6,354,4233.958,250 ~ 500
2019-07-01,78.0,448,5243.613,250 ~ 500
2019-07-02,78.9,448,5243.613,250 ~ 500
2019-07-03,78.5,448,5243.613,250 ~ 500
2019-07-04,78.5,448,5243.613,250 ~ 500
2019-07-05,78.4,448,5243.613,250 ~ 500
2019-07-07,78.2,448,5243.613,250 ~ 500
2019-07-07,78.4,448,5243.613,250 ~ 500
2019-07-08,78.1,472,5571.686,250 ~ 500
2019-07-09,78.2,472,5571.686,250 ~ 500
2019-07-11,78.3,472,5571.686,250 ~ 500
2019-07-11,78.4,472,5571.686,250 ~ 500
2019-07-12,78.3,472,5571.686,250 ~ 500
2019-07-13,77.5,472,5571.686,250 ~ 500
2019-07-14,77.4,472,5571.686,250 ~ 500
2019-07-15,77.1,116,1227.7359999999999,0 ~ 250
2019-07-16,77.2,116,1227.7359999999999,0 ~ 250
2019-07-17,77.4,116,1227.7359999999999,0 ~ 250
